P0;P1;P2;P3;time;P3_2
6118.057413;5765.092562;6118.057413;29060.77271;274;8529.983893
5742.140116;5466.075687;5742.140116;27275.16555;275;8061.081316
5263.428058;5010.378633;5314.037944;24950.67339;276;7389.043236
4724.478116;4497.339745;4769.90579;22395.84338;277;6632.440432
4210.869338;3970.248233;4250.972856;19771.03413;278;5895.217073
2724.148807;2568.483161;2750.093081;12790.52725;279;3813.808329
-116.475496;-110.9290438;-117.5847864;-545.7708955;280;-163.0656944
-116.475496;-112.0383342;-117.5847864;-545.7708955;281;-164.1749848
-118.6940769;-113.1476247;-119.8033673;-544.661605;282;-165.2842753
-118.6940769;-113.1476247;-119.8033673;-544.661605;283;-165.2842753
-118.6940769;-114.2569151;-119.8033673;-545.7708955;284;-165.2842753
-118.6940769;-114.2569151;-119.8033673;-545.7708955;285;-166.3935657
-118.6940769;-114.2569151;-120.9126577;-545.7708955;286;-166.3935657
-119.8033673;-114.2569151;-120.9126577;-545.7708955;287;-166.3935657
-119.8033673;-114.2569151;-120.9126577;-545.7708955;288;-167.5028561
2801.98163;2698.204532;2853.870178;12764.58298;289;3943.529701
4331.179891;4170.765821;4491.593961;19730.93061;290;6175.941696
4906.188813;4724.478116;5087.89951;22350.4157;291;6995.861826
5516.477484;5263.428058;5668.30714;24950.67339;292;7844.532203
6018.204544;5852.565887;6239.056087;27219.95266;293;8613.210174
6412.194788;6353.367313;6647.504689;29001.94524;294;9177.086119
6663.171216;6602.041205;6968.821272;30137.0955;295;9597.411751
6749.258248;6749.258248;7182.696852;30526.46162;296;9721.40867
6724.301227;6663.171216;7091.081294;30381.61554;297;9719.671774
6529.849739;6412.194788;6823.987114;29237.25514;298;9412.39602
6128.630316;6128.630316;6459.90763;27440.80421;299;8889.274602
5617.697255;5617.697255;5971.966451;25153.11293;300;8198.801399
5087.89951;5042.471835;5360.465555;22577.55407;301;7359.283219
4531.697478;4491.593961;4772.318583;19931.4482;302;6536.873354
2931.703001;2905.758727;3087.368648;12894.30435;303;4228.916719
-126.4591099;-124.240529;-134.224143;-551.3173477;304;-183.0329223
-126.4591099;-127.5684004;-135.3334334;-552.4266381;305;-183.0329223
-126.4591099;-127.5684004;-135.3334334;-552.4266381;306;-183.0329223
-126.4591099;-127.5684004;-135.3334334;-552.4266381;307;-184.1422127
-128.6776908;-127.5684004;-136.4427239;-552.4266381;308;-184.1422127
-128.6776908;-129.7869812;-137.5520143;-552.4266381;309;-186.3607936
-128.6776908;-130.8962717;-137.5520143;-552.4266381;310;-186.3607936
-129.7869812;-130.8962717;-138.6613047;-551.3173477;311;-187.470084
-130.8962717;-132.0055621;-139.7705952;-552.4266381;312;-188.5793744
3061.424373;3087.368648;3268.978568;12920.24863;313;4436.470914
4812.422101;4772.318583;5133.250241;19971.55172;314;6857.701494
5451.320903;5405.893229;5814.742297;22577.55407;315;7813.559961
6073.186221;6123.796106;6478.065303;25153.11293;316;8704.900251
6625.546287;6680.759173;7122.462259;27385.59132;317;9607.042117
7118.12449;7118.12449;7588.744291;29178.42766;318;10235.98067
7396.73135;7396.73135;7885.771439;30320.48553;319;10636.62194
7554.215654;7616.135455;8173.413659;30712.22102;320;10835.96508
7457.861361;7518.991372;8069.161473;30320.48553;321;10697.75195
7235.77944;7294.606915;7765.226716;29237.25514;322;10353.63562
6791.184945;6901.610716;7288.100916;27440.80421;323;9772.680774
6225.015877;6326.235647;6731.114729;25153.11293;324;8957.949676
5633.0316;5723.886948;6087.308342;22577.55407;325;8040.698332
5012.939688;5053.043206;5373.871346;19931.4482;326;7138.426116
3243.034294;3294.922842;3502.477037;12920.24863;327;4644.025109
-138.6613047;-141.9891761;-149.7542091;-552.4266381;328;-198.5629884
-139.7705952;-141.9891761;-150.8634996;-552.4266381;329;-199.6722788
-139.7705952;-141.9891761;-150.8634996;-552.4266381;330;-199.6722788
-139.7705952;-143.0984665;-153.0820804;-552.4266381;331;-199.6722788
-139.7705952;-143.0984665;-153.0820804;-552.4266381;332;-201.8908597
-141.9891761;-143.0984665;-153.0820804;-552.4266381;333;-201.8908597
-141.9891761;-144.2077569;-154.1913709;-552.4266381;334;-201.8908597
-141.9891761;-145.3170474;-154.1913709;-552.4266381;335;-201.8908597
-141.9891761;-146.4263378;-154.1913709;-552.4266381;336;-203.0001501
3346.811391;3424.644214;3632.198409;12946.1929;337;4799.690755
5173.353758;5293.664311;5694.699486;20011.65524;338;7419.150739
5860.169971;5996.452993;6450.729735;22668.40942;339;8494.975074
6579.285073;6731.114729;7186.603695;25153.11293;340;9464.048528
7177.675145;7398.526688;7840.229773;27440.80421;341;10324.80963
7706.399241;7882.881666;8412.328943;29237.25514;342;11118.3928
8008.031461;8191.421495;8802.721606;30442.74556;343;11553.57211
8111.493858;8359.17306;8916.451264;30836.06062;344;11702.84228
8008.031461;8252.551506;8802.721606;30381.61554;345;11553.57211
7765.226716;7941.709142;8529.983893;29354.91009;346;11177.22027
7288.100916;7453.739573;8005.868431;27496.01709;347;10545.66117
6731.114729;6882.944384;7389.043236;25153.11293;348;9666.488069
6041.880668;6223.591364;6632.440432;22622.98175;349;8722.113445
5333.767828;5494.181898;5935.320591;19971.55172;350;7699.875361
3476.532763;3554.365586;3839.752604;12894.30435;351;4981.300675
-148.6449187;-151.97279;-164.1749848;-550.2080572;352;-212.9837641
-148.6449187;-153.0820804;-164.1749848;-550.2080572;353;-215.202345
-148.6449187;-153.0820804;-165.2842753;-552.4266381;354;-215.202345
-149.7542091;-154.1913709;-165.2842753;-552.4266381;355;-215.202345
-150.8634996;-155.3006613;-166.3935657;-552.4266381;356;-215.202345
-150.8634996;-155.3006613;-166.3935657;-552.4266381;357;-216.3116354
-150.8634996;-156.4099517;-167.5028561;-552.4266381;358;-216.3116354
-151.97279;-156.4099517;-168.6121466;-552.4266381;359;-217.4209258
-153.0820804;-156.4099517;-168.6121466;-552.4266381;360;-218.5302163
3580.30986;3658.142683;3943.529701;12920.24863;361;5136.966321
5534.285416;5654.595968;6135.838179;19971.55172;362;7980.599984
6269.019039;6405.302061;6995.861826;22622.98175;363;9040.107164
7034.77404;7237.21358;7844.532203;25203.72282;364;10121.97704
7674.591116;7950.655545;8613.210174;27496.01709;365;11153.00292
8235.846517;8471.156418;9177.086119;29296.08261;366;11883.14997
8558.201562;8802.721606;9597.411751;30442.74556;367;12409.39226
8668.772062;8978.371064;9783.32847;30897.98042;368;12569.71949
8558.201562;8924.981629;9658.541763;30503.87557;369;12531.65229
8294.673992;8588.811368;9235.913594;29354.91009;370;12059.6324
7840.229773;8116.294202;8778.848831;27551.22998;371;11429.06735
7186.603695;7490.263006;8097.581628;25254.3327;372;10526.85612
6496.15741;6723.295781;7268.427871;22668.40942;373;9494.383906
5774.906521;6015.527626;6456.666319;20011.65524;374;8421.738676
3735.975506;3891.641152;4177.02817;12972.13717;375;5448.297613
-160.8471135;-166.3935657;-178.5957605;-554.645219;376;-232.950992
-161.9564039;-167.5028561;-180.8143414;-554.645219;377;-234.0602824
-161.9564039;-167.5028561;-180.8143414;-554.645219;378;-236.2788633
-161.9564039;-168.6121466;-181.9236318;-554.645219;379;-236.2788633
-163.0656944;-169.721437;-183.0329223;-554.645219;380;-237.3881537
-163.0656944;-171.9400179;-183.0329223;-554.645219;381;-237.3881537
-163.0656944;-171.9400179;-184.1422127;-554.645219;382;-238.4974442
-166.3935657;-171.9400179;-185.2515031;-554.645219;383;-239.6067346
-166.3935657;-173.0493083;-185.2515031;-554.645219;384;-239.6067346
3891.641152;4047.306798;4332.693816;12946.1929;385;5629.907534
6015.527626;6296.252249;6737.390941;19971.55172;386;8742.566816
6859.578803;7132.144848;7722.704613;22622.98175;387;9948.660648
7642.092662;7996.361858;8603.68048;25203.72282;388;11083.56485
8392.358631;8723.635945;9386.190574;27496.01709;389;12091.62197
9000.603694;9294.741069;10059.49825;29296.08261;390;12883.21705
9352.891707;9719.671774;10453.23191;30442.74556;391;13387.47244
9473.729468;9907.168071;10650.20568;30836.06062;392;13684.2759
9352.891707;9841.931796;10575.49193;30442.74556;393;13570.86248
9118.258644;9471.223495;10177.1532;29296.08261;394;13059.69948
8557.997288;8944.487488;9551.829231;27496.01709;395;12257.26063
7895.142088;8198.801399;8856.729906;25203.72282;396;11286.00439
7086.717174;7359.283219;7949.842984;22622.98175;397;10175.79902
6296.252249;6496.769836;7058.219081;19971.55172;398;8983.187921
4073.251073;4228.916719;4566.192285;12920.24863;399;5811.517454
-174.1585988;-181.9236318;-196.3444075;-552.4266381;400;-250.699639
-174.1585988;-183.0329223;-196.3444075;-552.4266381;401;-250.699639
-175.2678892;-183.0329223;-196.3444075;-552.4266381;402;-250.699639
-176.3771796;-184.1422127;-196.3444075;-553.5359285;403;-252.9182199
-176.3771796;-184.1422127;-198.5629884;-553.5359285;404;-252.9182199
-176.3771796;-184.1422127;-198.5629884;-553.5359285;405;-252.9182199
-178.5957605;-184.1422127;-199.6722788;-553.5359285;406;-252.9182199
-178.5957605;-186.3607936;-199.6722788;-553.5359285;407;-252.9182199
-178.5957605;-186.3607936;-200.7815693;-554.645219;408;-254.0275103
4177.02817;4384.582365;4695.913657;12972.13717;409;5993.127375
6456.666319;6777.494459;7298.840186;20051.75875;410;9263.912544
7404.710893;7677.276939;8267.836703;22713.8371;411;10493.79274
8249.411284;8654.290365;9261.608988;25254.3327;412;11741.49336
8999.700374;9441.403459;10103.95809;27551.22998;413;12809.38949
9588.878445;10118.32572;10765.42795;29354.91009;414;13647.97423
9964.191818;10514.36192;11186.79204;30503.87557;415;14243.2926
10154.84727;10712.12548;11455.16308;30897.98042;416;14489.2333
10025.32183;10575.49193;11309.05206;30503.87557;417;14304.42261
9647.70592;10177.1532;10883.0829;29354.91009;418;13824.45665
9165.339031;9551.829231;10214.38386;27551.22998;419;12975.02815
8401.240939;8755.510136;9413.438643;25254.3327;420;11893.32302
7586.42159;7904.41531;8449.5474;22668.40942;421;10720.93111
6697.287424;7018.115564;7459.254256;20011.65524;422;9464.430132
4332.693816;4566.192285;4851.579303;12946.1929;423;6122.848746
-185.2515031;-195.2351171;-208.5466023;-553.5359285;424;-262.9018338
-185.2515031;-196.3444075;-208.5466023;-553.5359285;425;-262.9018338
-186.3607936;-196.3444075;-208.5466023;-553.5359285;426;-262.9018338
-186.3607936;-196.3444075;-208.5466023;-553.5359285;427;-265.1204147
-187.470084;-196.3444075;-208.5466023;-553.5359285;428;-265.1204147
-187.470084;-196.3444075;-209.6558928;-553.5359285;429;-265.1204147
-187.470084;-197.453698;-210.7651832;-553.5359285;430;-265.1204147
-188.5793744;-198.5629884;-210.7651832;-553.5359285;431;-265.1204147
-188.5793744;-198.5629884;-210.7651832;-553.5359285;432;-267.3389955
4436.470914;4644.025108;4955.356401;12946.1929;433;6252.570118
6857.701494;7178.529634;7699.875361;20011.65524;434;9705.051237
7768.132287;8176.981355;8722.113445;22668.40942;435;10993.49715
8654.290365;9160.389217;9717.097954;25254.3327;436;12298.2021
9551.829231;10048.7452;10711.29983;27551.22998;437;13471.94412
10177.1532;10706.60047;11471.35765;29354.91009;438;14412.73141
10575.49193;11125.66203;11920.35218;30503.87557;439;15037.98274
10712.12548;11393.24328;12136.28089;30897.98042;440;15232.27091
10575.49193;11309.05206;11981.48219;30503.87557;441;15099.11276
10235.98067;10883.0829;11530.18512;29354.91009;442;14530.38636
9662.255002;10269.59675;10932.15137;27551.22998;443;13692.79566
8856.729906;9413.438643;10020.75727;25254.3327;444;12551.25152
7995.270658;8449.5474;9040.107164;22668.40942;445;11311.49087
7058.219081;7539.461291;8020.703501;20011.65524;446;10025.87938
4566.192285;4877.523578;5188.85487;12946.1929;447;6486.068587
-196.3444075;-208.5466023;-221.8580876;-553.5359285;448;-279.5411904
-196.3444075;-208.5466023;-224.0766685;-553.5359285;449;-279.5411904
-197.453698;-211.8744736;-224.0766685;-553.5359285;450;-279.5411904
-197.453698;-211.8744736;-224.0766685;-553.5359285;451;-280.6504808
-198.5629884;-214.0930545;-225.1859589;-553.5359285;452;-281.7597712
-198.5629884;-215.202345;-226.2952493;-553.5359285;453;-282.8690617
-198.5629884;-215.202345;-227.4045398;-553.5359285;454;-282.8690617
-199.6722788;-215.202345;-228.5138302;-553.5359285;455;-282.8690617
-199.6722788;-215.202345;-228.5138302;-553.5359285;456;-283.9783521
4721.857932;5059.133498;5344.520516;12946.1929;457;6641.734233
7379.047221;7860.289431;8301.428124;20011.65524;458;10306.604
8358.692052;8903.824142;9403.528558;22668.40942;459;11674.91227
9312.218873;9970.14738;10526.85612;25254.3327;460;13057.35038
10159.17097;10932.15137;11539.49312;27551.22998;461;14355.35029
10883.0829;11647.84007;12353.76978;29354.91009;462;15295.14353
11309.05206;12103.74221;12837.30234;30503.87557;463;15893.8029
